"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774480368386834473","Sun Mar 31 16:54:22 +0000 2024","1217","19 &amp; 22 April Aksi Kawal Putusan MK..!!! https://t.co/73QZCBBxYx","1774480368386834473","https://pbs.twimg.com/ext_tw_video_thumb/1774480289965989888/pu/img/--FyuqCI6-w0B9A-.jpg","","in","Jatinegara, Indonesia","6","25","451","https://twitter.com/DaengWahidin2/status/1774480368386834473","1401837073166860291","DaengWahidin2"
"1775212688207221043","Tue Apr 02 17:24:21 +0000 2024","511","Sejauh ini ... A1 Seluruh hakim MK sudah memahami titik permasalahan pemilu 2024 persyaratan putusan Antara lain bukti yg cukup dan keterangan Saksi dan ahli dan Alhamdulillah sudah lebih dari cukup Karena praktek nya sangat keterlaluan sekali https://t.co/k5SCVr0ci8","1775212688207221043","https://pbs.twimg.com/ext_tw_video_thumb/1775211964790341632/pu/img/ocUYHoB5fBYbUNi-.jpg","","in","at ease ✍️","8","18","243","https://twitter.com/Ilustrator23/status/1775212688207221043","3252096199","Ilustrator23"
"1776817444688200094","Sun Apr 07 03:41:05 +0000 2024","138","MAHKAMAH KONSTITUSI ADALAH TEMPAT TERAKHIR UNTUK NENCARI KEADILAN... SEMOGA HATI NURANI PARA HAKIM MK INI TIDAK TERGODA DAN DI KOTORI OLEH SUASANA POLITIK MENGHALALKAN SEGALA CARA AGAR PUTUSAN TEPAT UNTUK RAKYAT....‼️ #KawalKedaulatanRakyat #KawalKedaulatanRakyat 🆘🆗 https://t.co/Xy2iFkScpq","1776817444688200094","https://pbs.twimg.com/ext_tw_video_thumb/1776817301620420608/pu/img/XS98XtfrBSHxRXb7.jpg","","in","Tanah Abang, Indonesia","4","10","87","https://twitter.com/Jatayu_45back/status/1776817444688200094","1355501823864561668","Jatayu_45back"
"1776963399374770209","Sun Apr 07 13:21:03 +0000 2024","1560","Rocky Gerung soal putusan MK : pemilu ulang tanpa Gibran Mungkin nggak guys? https://t.co/YfZst7OwTY","1776963399374770209","https://pbs.twimg.com/ext_tw_video_thumb/1776963308660367360/pu/img/cENuSz6TZ9UfQAC8.jpg","","in","Jakarta Capital Region","9","58","497","https://twitter.com/Mdy_Asmara1701/status/1776963399374770209","1334853481019056128","Mdy_Asmara1701"
"1776450292378411502","Sat Apr 06 03:22:09 +0000 2024","197","(Kiri) Kesaksian Ahli Tim Hukum 02 (Kanan) Kesaksian Ferry Amsari atas ucapan YIM-Ketua Tim Hukum 02 Apakah putusan MK akan #Nalar ?! #TolakPemiluCurang https://t.co/TDhueD4nHT","1776450292378411502","https://pbs.twimg.com/ext_tw_video_thumb/1776449119483199488/pu/img/vOjc3R8CSbijaegv.jpg","","in","South East Asia","3","8","106","https://twitter.com/ZAEffendy/status/1776450292378411502","129750289","ZAEffendy"
"1775078690961137768","Tue Apr 02 08:31:53 +0000 2024","109","Sekedar mengingatkan si prof yusril yg puinter bet itu tau putusan 90 MK yg meloloskan Gibran itu cacat hukum dan kontroversial. Omon2 satu paragraf https://t.co/jE7nnrpek9","1775078690961137768","https://pbs.twimg.com/ext_tw_video_thumb/1775078537718087680/pu/img/tBhjfOUmYpD3faeD.jpg","","in","Seberang Rumah Pak Lurah","3","6","70","https://twitter.com/AlnilamOmar/status/1775078690961137768","1649686141757722626","AlnilamOmar"
"1775454877038358536","Wed Apr 03 09:26:43 +0000 2024","482","https://t.co/rTfAmRSorV Ubedilah Badrun: misalnya dalam putusan MK Jokowi terbukti terlibat dalam proses ketidakjujuran dan ketidakadilan Pemilu itu bisa menjadi dasar DPR melanjutkan Hak Angket. Saksikan selengkapnya! Jangan lupa subscribe comment like &amp; share! https://t.co/5JjhDmD2KV","1775454877038358536","https://pbs.twimg.com/ext_tw_video_thumb/1775454703603908609/pu/img/Qkxh-KWxZ-dR7q4g.jpg","","in","Indonesia","6","14","197","https://twitter.com/AbrSamad/status/1775454877038358536","949066047243436032","AbrSamad"
"1776825311772184864","Sun Apr 07 04:12:20 +0000 2024","253","RAKYAT INDONESIA MENUNGGU PUTUSAN RESMI DARI PARA HAKIM MK... KEPUTUSAN HAKIM MK DIRENCANAKAN PADA TANGGAL 22 APRIL 2024... SEMOGA ALLAH MEMBERIKAN RAHMATNYA UNTUK KITA SEMUA LEWAT PUTUSAN MK INI....‼️ #KawalKedaulatanRakyat #KawalKedaulatanRakyat 🆘🆗 https://t.co/6J43RJUL8H","1776825311772184864","https://pbs.twimg.com/ext_tw_video_thumb/1776825188077948928/pu/img/NUYA7zGIrxJAr0cK.jpg","","in","","8","30","134","https://twitter.com/PngAdilnR4kyt/status/1776825311772184864","1630749805734678529","PngAdilnR4kyt"
"1775776505664344457","Thu Apr 04 06:44:45 +0000 2024","538","Hakim konstitusi Arief Hidayat menyoroti pendapat ahli yang dihadirkan tim hukum dari Prabowo-Gibran Andi Muhammad Asrun. Asrun menyebut putusan MK Nomor 90/PUU-XXI/2023 tentang syarat minimal usia capres-cawapres di Pilpres 2024 bersifat self executing artinya putusan itu https://t.co/7osC6nmWkC","1775776505664344457","https://pbs.twimg.com/amplify_video_thumb/1775776418812825600/img/0ocgEwN7E_Blnpb4.jpg","","in","","12","29","184","https://twitter.com/NarasiNewsroom/status/1775776505664344457","1158355819512991747","NarasiNewsroom"
"1775084693794476483","Tue Apr 02 08:55:45 +0000 2024","84","Putusan MK cacat yg serius ada penyelundupan hukum didalamnya. Peraturan kpu bisa dibatalkan mahkamah Agung karena tanpa konsultasi dgn DPR waktu mengubahnya. https://t.co/ndrLf2gOfH","1775084693794476483","https://pbs.twimg.com/ext_tw_video_thumb/1775084602526461953/pu/img/kfRkl6YrkS_13FIc.jpg","","in","","2","9","26","https://twitter.com/Bambangmulyonoo/status/1775084693794476483","1296312516901916672","Bambangmulyonoo"
"1776592331388715172","Sat Apr 06 12:46:33 +0000 2024","988","Ha ha ha kok masih pada sibuk n g e b a c o t saja mengenai Sidang MK lucu banget nie Putusan MK No 90 yg mengakibatkan Ketua MK nya d i c o p o t Oleh Hakim MK MK terang benderang sudah pastilah Bapaknya yang Berkuasa pasti memihak Anaknya yg masih imut2 ngapain kalian yg https://t.co/XdOGJkZwH7","1776592331388715172","https://pbs.twimg.com/media/GKe5TkIaQAALtxZ.jpg","","in","Jakarta","28","440","98","https://twitter.com/ruhutsitompul/status/1776592331388715172","219244515","ruhutsitompul"
"1775813779642855498","Thu Apr 04 09:12:52 +0000 2024","291","https://t.co/JW5jU8SeFQ Saksi Ahli Hukum Tata Negara bocorkan prediksi putusan MK terkait sengketa Pilpres 2024. Saksikan selengkapnya di youtube Abraham Samad SPEAK UP! Jangan lupa subscribe comment like &amp; share! https://t.co/IcaM0KZSGR","1775813779642855498","https://pbs.twimg.com/ext_tw_video_thumb/1775813598541225984/pu/img/B1fXsAa48Y0Z0-vM.jpg","","in","Indonesia","2","10","123","https://twitter.com/AbrSamad/status/1775813779642855498","949066047243436032","AbrSamad"
